,emojis,urls,hashtags,users,words,unique_words,chars,stopwords,punctuations,numerics,upper,title
5905,0,0,0,1,18,18,83,6,1,1,0,2
7558,0,0,0,1,7,7,31,1,1,0,1,2
4522,0,0,0,1,24,23,125,12,1,0,0,5
12230,0,0,5,1,28,15,195,9,7,0,2,9
3875,1,0,0,1,8,8,35,1,1,0,0,0
10048,0,0,0,2,13,12,84,5,1,0,0,1
4710,5,0,0,1,21,20,101,4,1,0,1,3
1001,0,0,3,2,41,36,283,11,4,0,4,9
4217,0,0,0,2,15,14,69,8,2,0,0,2
12530,0,0,0,1,23,22,129,11,1,0,0,1
10155,1,0,0,2,12,11,63,2,0,0,0,1
774,0,0,0,2,4,3,20,0,1,0,0,1
8980,1,0,0,2,6,5,27,2,0,0,0,1
10125,0,0,0,3,53,40,297,20,5,0,2,7
11734,0,0,0,1,17,16,87,4,6,0,0,6
2866,0,0,0,4,45,38,234,22,3,0,1,5
11777,0,0,0,1,8,8,48,1,4,0,0,3
5841,0,0,0,1,11,11,51,2,4,0,0,0
10206,0,0,0,2,10,9,51,3,2,0,0,0
1956,0,0,0,1,12,12,58,7,0,0,0,2
10931,0,0,0,8,68,50,326,28,0,0,0,5
11525,0,0,0,1,12,11,60,5,2,0,1,1
8253,0,0,3,4,33,29,205,9,10,0,3,3
9536,3,0,0,3,7,5,46,1,1,0,0,0
11140,0,1,1,9,23,15,118,6,1,0,2,1
13068,0,0,0,1,12,12,63,4,0,0,0,1
10069,0,0,0,5,16,12,75,4,0,0,1,1
497,0,1,5,0,35,31,242,10,6,1,0,5
1381,0,0,1,2,38,37,227,9,4,0,10,3
8835,0,0,0,10,56,40,327,17,7,0,1,2
5308,1,0,0,1,7,7,34,2,0,0,0,0
8097,0,0,2,2,25,22,144,9,5,0,0,4
6461,0,0,2,2,36,33,206,20,4,0,0,0
2326,1,0,0,1,10,10,49,4,0,0,0,1
3767,0,2,1,1,35,31,226,9,7,0,1,10
31,3,0,0,1,15,15,68,9,1,0,1,2
9762,0,0,0,1,14,14,76,2,4,0,0,3
7724,0,0,0,2,12,11,68,6,8,0,0,1
9874,0,0,0,1,32,27,155,16,0,0,0,1
7898,0,0,0,4,34,30,180,12,3,1,1,7
11361,0,0,0,1,19,19,112,9,1,0,0,1
10532,0,0,0,4,16,13,99,5,0,0,0,2
4356,0,0,0,4,51,41,257,23,3,0,4,0
11857,0,0,0,3,19,16,97,5,1,0,0,1
7692,0,0,0,1,23,23,151,10,2,0,0,3
3334,0,0,0,1,25,24,132,11,0,0,0,0
6671,0,0,0,4,20,16,103,5,3,0,2,4
12155,0,1,0,1,32,30,150,11,4,1,1,5
3845,0,0,0,2,44,36,259,14,8,0,2,6
10232,0,1,3,1,7,7,64,0,1,0,1,1
3160,0,0,0,1,2,2,10,0,0,0,0,1
8722,0,0,0,1,12,12,68,5,2,0,1,1
12875,0,0,0,1,53,43,276,26,4,0,0,5
9184,0,0,3,1,10,10,94,3,3,0,0,1
4287,0,0,0,16,21,6,120,1,1,0,0,2
2180,0,0,0,5,49,39,271,19,7,0,0,3
3571,0,0,0,1,12,12,73,5,0,0,0,2
11889,0,0,0,2,37,34,201,16,2,0,6,2
10095,0,0,0,1,6,6,29,0,5,0,0,5
8353,0,0,0,1,26,23,149,10,5,0,1,4
887,0,0,0,49,56,8,332,1,2,0,0,6
7196,0,0,0,1,5,5,20,1,1,0,1,2
7067,0,0,0,1,30,27,155,11,4,0,0,3
11093,0,0,0,1,16,16,81,5,1,0,0,5
2336,0,0,0,1,6,6,26,2,0,0,0,1
7833,0,0,0,1,10,10,54,3,4,0,3,1
6487,0,0,0,1,4,4,18,0,1,0,0,1
11371,0,0,0,3,59,42,281,14,11,0,2,11
2335,0,0,0,1,9,9,38,5,0,1,0,0
7093,0,0,0,50,53,4,315,1,1,0,0,2
12242,0,0,0,1,14,11,69,5,2,0,2,3
9422,1,0,0,4,13,9,67,3,1,0,0,2
5521,0,0,0,1,13,12,63,6,2,0,0,2
9852,0,0,0,1,49,42,264,16,7,0,1,8
10552,0,0,0,1,14,13,78,4,2,0,0,1
4310,0,0,0,1,12,12,49,7,0,0,0,0
523,0,0,0,1,4,4,22,1,0,0,0,1
11231,0,0,0,2,34,28,185,13,5,0,1,3
3206,0,0,0,3,28,23,151,11,2,0,1,4
4463,0,1,5,3,20,17,118,2,1,0,2,4
7726,0,0,0,2,17,16,101,3,2,0,0,4
10223,0,0,0,1,24,23,138,8,6,0,0,2
7493,0,0,0,2,57,43,286,23,7,2,1,6
6168,0,0,0,1,13,13,82,4,2,0,1,3
10993,0,0,0,2,49,41,281,20,5,0,1,4
7440,0,0,0,3,38,34,233,14,9,0,0,2
12631,0,0,0,1,5,5,40,0,5,0,0,2
11779,0,0,0,1,24,21,120,12,1,0,0,1
12149,0,0,0,1,43,35,211,9,5,0,3,6
4085,0,0,0,1,12,12,52,4,1,0,0,2
12785,0,0,0,2,16,14,88,6,4,0,1,2
839,0,1,0,5,54,43,253,19,6,0,1,7
742,0,0,0,1,5,5,31,2,0,0,0,1
1552,0,0,0,2,18,17,102,6,0,0,0,0
12001,0,0,0,1,15,14,67,6,1,0,0,2
7706,0,1,0,1,50,47,289,13,13,0,2,12
5845,0,0,0,3,8,6,44,2,2,0,0,2
4044,1,0,0,1,8,8,47,2,2,0,0,1
5660,0,0,0,1,15,15,94,5,3,0,0,1
9384,0,0,0,2,46,40,291,14,2,0,0,6
7,0,0,0,1,31,30,176,11,1,0,0,0
123,0,1,0,2,10,9,50,2,0,0,0,1
2078,0,0,0,3,26,23,142,6,4,0,0,5
173,0,0,0,1,47,40,264,22,3,0,1,5
5796,0,0,0,4,14,11,64,6,0,0,0,1
10126,0,0,0,1,45,38,248,18,6,0,1,7
5478,0,0,0,3,23,21,135,9,2,0,1,1
1887,0,0,0,1,10,10,49,4,1,0,0,3
10386,0,0,0,2,24,19,128,7,13,0,0,2
11693,0,0,0,1,47,39,274,20,5,0,1,4
3057,0,0,0,0,44,36,252,24,3,0,1,4
2112,0,0,0,1,11,11,64,3,2,0,0,3
8276,0,0,13,2,31,25,232,2,6,0,9,8
5372,0,0,0,1,10,10,43,4,1,0,1,2
4430,0,0,0,1,8,8,36,4,0,0,0,1
8931,0,1,0,1,8,8,47,0,0,0,1,4
1248,0,0,0,1,3,3,14,1,0,0,0,0
4949,0,0,0,2,39,33,200,18,12,0,0,3
2355,0,0,0,3,11,9,69,4,5,0,0,4
9039,0,0,0,1,6,6,30,0,0,0,0,1
5901,0,0,0,4,34,24,188,10,5,0,1,5
518,0,0,0,6,48,37,280,16,8,0,0,2
9720,0,0,0,6,55,45,304,14,11,0,3,8
3665,0,0,0,2,21,16,107,8,1,0,0,1
3952,0,0,0,1,20,19,116,4,3,0,0,4
4123,0,0,0,1,14,14,88,6,1,0,0,0
9522,0,0,0,1,6,6,38,2,1,0,0,1
4748,1,0,0,2,9,8,55,1,0,0,0,0
10954,1,0,0,1,4,4,24,1,0,0,0,2
4220,0,0,0,1,40,32,223,21,4,0,1,6
11580,0,1,0,2,24,21,126,13,13,0,1,1
8388,0,1,0,2,12,10,56,5,2,0,0,1
5886,0,0,0,6,30,25,161,7,4,0,1,4
3490,0,0,0,5,40,31,241,12,3,0,1,2
13003,0,1,2,0,8,8,46,0,1,0,2,3
9906,0,0,1,1,37,35,215,19,8,0,2,7
6385,0,0,0,1,36,32,198,15,4,0,3,8
4282,0,0,0,2,36,29,241,8,14,0,0,6
8853,0,0,0,1,9,9,48,1,3,0,0,1
7709,0,1,0,0,17,17,119,2,2,1,0,3
12949,0,0,0,2,6,5,33,0,5,0,4,1
780,0,0,0,2,8,7,37,2,1,0,1,1
2982,0,0,0,2,35,31,185,15,5,0,0,3
3670,0,0,0,2,14,13,68,5,1,0,0,0
1796,0,1,0,1,16,15,77,9,1,0,0,2
8854,0,0,0,1,5,5,22,2,0,0,0,1
178,0,0,2,1,13,13,88,3,3,0,0,3
5540,0,0,0,2,21,19,123,8,3,0,0,4
10906,0,0,0,1,29,27,149,10,4,0,2,8
6471,4,0,0,1,10,10,56,4,0,0,0,1
3170,3,0,0,1,15,15,79,4,0,0,0,1
10596,0,0,0,1,10,10,55,4,0,0,0,1
5555,0,0,1,5,20,15,115,4,3,0,0,3
1837,0,0,1,1,30,29,167,11,4,0,1,3
10504,1,0,0,13,29,16,165,5,10,0,1,3
4961,1,0,0,1,5,5,29,2,0,0,0,0
6067,0,0,0,3,34,25,195,9,7,0,1,6
10830,0,2,3,0,42,36,248,12,16,0,5,4
7509,0,0,0,2,19,17,120,10,4,0,0,0
3046,0,0,0,1,14,14,74,5,1,0,0,2
3200,1,0,0,1,6,6,25,1,0,0,1,1
5487,0,0,0,2,10,9,65,2,1,0,0,2
7223,0,0,0,1,40,35,233,20,3,0,0,4
4021,0,0,0,2,43,37,243,16,6,0,2,9
425,0,0,0,2,21,19,126,9,11,0,0,3
6071,2,0,0,1,17,16,83,5,0,0,0,1
2693,0,1,1,2,8,7,41,2,0,0,0,1
1554,0,0,0,1,14,14,80,5,1,0,0,2
12666,0,0,0,1,7,7,28,4,0,0,0,1
10632,0,0,1,0,41,37,277,11,11,1,2,7
10122,0,1,1,0,3,3,15,0,1,0,1,0
12278,0,1,0,1,31,30,174,7,4,1,0,4
8649,0,0,0,2,19,18,98,6,2,0,0,1
12851,0,0,0,1,5,5,19,2,0,0,0,1
4846,0,0,0,1,7,7,46,1,1,0,0,0
9311,0,1,0,4,17,14,108,2,2,0,0,1
271,0,0,0,4,35,30,203,14,4,0,1,5
12482,6,0,0,2,8,7,45,2,4,0,0,1
2639,0,0,0,3,21,18,119,8,10,0,0,2
2454,0,0,0,1,3,3,12,0,0,0,0,1
4643,0,0,0,2,37,31,210,17,9,0,0,4
6608,0,0,0,45,50,6,293,1,1,0,1,2
12605,0,0,0,2,34,33,220,10,7,0,0,7
8755,0,0,0,3,6,4,31,2,0,0,0,1
11942,0,0,1,1,8,8,41,2,1,0,2,2
7599,0,1,3,0,14,14,99,1,3,0,2,8
2178,0,0,0,2,29,23,152,12,4,0,0,3
9665,0,0,0,3,36,31,212,13,10,0,0,2
10343,0,0,0,1,19,19,97,7,5,0,0,3
2678,0,0,0,2,24,23,160,7,12,0,6,1
3152,0,0,0,50,95,38,503,19,9,0,1,4
2144,0,0,0,1,20,19,107,7,7,0,0,3
422,0,1,1,5,23,18,129,6,0,0,1,1
10103,0,0,0,1,3,3,14,0,1,0,0,1
2372,0,0,0,1,27,23,149,13,5,0,0,1
12514,1,0,0,3,50,45,290,15,7,0,0,9
4701,0,0,0,2,34,26,160,15,4,0,2,3
10678,0,0,0,5,57,42,286,29,5,0,1,3
7390,0,0,0,1,7,7,35,1,2,0,1,2
5499,0,0,0,2,34,30,199,11,5,0,0,6
12803,0,0,0,1,16,16,73,7,0,0,1,2
